model,note,sample,accuracy
unigram,lapalce_add_one,sample_size=30000,0.44718427
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.44885038
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.46284572
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.46684439
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.452
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.463
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.44166667
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.45715238
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.44248083
unigram,max_features=log2;n_estimators=100,sample_size=30000,0.46364243
