model,note,sample,accuracy
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
baseline,baseline,sample_size=30000,0.25
