37996,1
11824,1
1341,14
375690,1
175436,1
1786,50
382435,2
34406,38
63773,50
289343,1
11464,1
152315,9
73146,45
357481,1
293893,50
362684,1
200586,1
359930,1
66844,5
107620,1
124170,50
290516,1
261337,1
91033,15
209183,2
95566,50
255807,1
209510,3
296630,2
158287,2
374266,1
39432,1
250845,19
27072,2
367223,3
320280,1
306182,30
89160,2
124285,25
341932,3
242537,1
268844,50
71527,2
129871,9
260548,5
146592,1
15479,4
343458,1
123738,1
24310,2
126001,50
98016,28
291913,1
61217,13
24737,1
259027,2
307409,8
99422,2
345661,5
353735,1
93166,8
2135,1
226753,19
312097,1
157255,5
253898,50
25368,1
27405,2
65340,2
397244,1
106270,20
391411,1
345398,10
104815,50
322528,1
395221,41
382022,1
249814,1
34369,16
300181,1
315759,1
320429,1
290057,50
6190,50
101108,28
364051,1
73651,50
2071,9
69352,1
290214,28
222812,1
42890,1
111128,3
304117,2
177126,50
29711,1
313682,10
62201,2
264272,1
381025,1
395953,1
176463,6
26184,50
42359,50
327682,50
103814,50
60172,26
228452,6
23481,3
170414,5
342563,50
181782,4
52125,2
100554,23
42959,2
139347,26
22228,50
336586,1
117576,50
184051,3
927,11
190120,1
2477,25
106035,2
160104,1
9486,1
300340,2
263188,3
351696,1
334198,11
56153,1
12948,8
53670,1
334410,50
250677,1
1824,1
299432,1
273636,4
5481,14
270445,5
116697,1
206856,2
357518,5
7493,50
84678,3
232798,1
53475,1
203743,2
56712,6
1195,3
335724,1
235876,1
41133,5
353764,50
252542,1
365412,26
295743,4
120684,8
158049,3
398591,8
96031,50
299988,1
135612,3
50786,27
201606,1
108772,50
9213,4
13381,1
330322,1
99761,1
259115,50
220824,1
313028,3
4679,44
120957,20
94289,18
99199,1
384265,5
267108,6
135551,2
88966,4
118325,26
75331,49
57193,3
157632,4
359317,5
13241,1
68119,1
140911,2
385726,1
306783,12
16739,11
368070,1
2006,16
382732,6
221261,1
338871,1
226970,1
149501,1
99347,1
